"SurveyID" "SiteCode" "SiteLongitude" "SiteLatitude" "coral_imputation" "algae_imputation" "CCA_imputation" "rubble_imputation" "micro_mats_imputation" "rock_imputation" "sand_imputation" "seagrass_imputation" "other_inverts_imputation"
"1" 1003278 "USEC4" -81.11185 24.62529 0.23 0.19 0.09 0 0.02 0.14 0.03 0 0.3
"2" 1003280 "USEC6" -81.109328 24.625624 0.20562674603175 0.322887543290046 0.0868869999999999 0 0.0171516956521701 0.186411666666667 0.071571814093314 0 0.115495714285692
"3" 1003281 "USEC8" -81.060967 24.69262 0.1 0.68 0.01 0 0.02 0 0.17 0 0.02
"4" 1003282 "USEC9" -81.04805 24.70784 0.17 0.55 0.01 0 0.02 0 0.23 0 0.02
"5" 1003283 "USEC10" -80.96287 24.68577 0.3 0.37 0.07 0 0.03 0.02 0.01 0 0.2
"6" 1003284 "USEC11" -80.9645 24.68553 0.29 0.38 0.04 0 0.02 0.06 0.1 0 0.11
"7" 1003285 "USEC12" -81.41568 24.54062 0.2 0.39 0.03 0 0.08 0.03 0.14 0 0.13
"8" 1003286 "USEC13" -81.40591 24.54569 0.22 0.54 0.02 0 0.05 0.08 0 0 0.09
"9" 1003287 "USEC14" -81.405235 24.546777 0.24 0.45 0.02 0 0.01 0.03 0.09 0 0.16
"10" 1003288 "USEC15" -80.97067 24.68217 0.222222222222222 0.464646464646465 0.0303030303030303 0 0 0.0404040404040404 0.0808080808080808 0 0.161616161616162
"11" 1003289 "USEC16" -81.02973 24.68975 0.06 0.58 0.08 0 0.05 0.06 0 0 0.17
"12" 1003291 "USEC17" -81.09053 24.63217 0.12 0.41 0.08 0 0.05 0.14 0.07 0 0.13
"13" 1003292 "USEC7" -81.110531 24.62198 0.08 0.43 0.05 0 0.09 0 0.21 0 0.14
"14" 1003629 "CAR2" -82.87406 24.609 0.25 0.41 0.13 0 0.01 0.03 0.11 0 0.06
"15" 1003630 "CAR2" -82.87406 24.609 0.14 0.69 0.06 0 0 0 0.07 0 0.04
"16" 1003631 "CAR1" -82.86406 24.62056 0.16 0.51 0.05 0 0 0.01 0.27 0 0
"17" 1003632 "CAR1" -82.86406 24.62056 0.17 0.53 0.07 0 0 0.01 0.16 0 0.06
"18" 1003633 "CAR3" -82.94296 24.62429 0.34 0.45 0.02 0 0.02 0.02 0.11 0 0.04
"19" 1003634 "CAR3" -82.94296 24.62429 0.08 0.58 0 0 0.01 0.06 0.24 0 0.03
"20" 1003635 "CAR3" -82.94296 24.62429 0.08 0.46 0.01 0 0.01 0.08 0.33 0 0.03
"21" 1003636 "CAR3" -82.94296 24.62429 0.247619047625048 0.676190476196476 0 0 0 0 0.0476190476190476 0 0.0285714285594286
"22" 1003637 "CAR4" -81.38695 19.3066 0.25 0.59 0.01 0 0.01 0.02 0.1 0 0.02
"23" 1003638 "CAR4" -81.38695 19.3066 0.11 0.55 0.18 0 0.08 0.04 0.02 0 0.02
"24" 1003639 "CAR4" -81.38695 19.3066 0.14 0.56 0.01 0 0.02 0.06 0.2 0 0.01
"25" 1003640 "CAR6" -81.36713 13.45645 0.46 0.29 0.15 0 0.02 0.01 0.01 0 0.06
"26" 1003641 "CAR5" -81.36453 13.45828 0.52 0.27 0.07 0 0 0 0.11 0 0.03
"27" 1003642 "CAR5" -81.36453 13.45828 0.46 0.31 0.13 0 0.03 0.02 0.04 0 0.01
"28" 1003643 "CAR6" -81.36713 13.45645 0.67 0.25 0.05 0 0.01 0.01 0 0 0.01
"29" 1003644 "CAR5" -81.36453 13.45828 0.54 0.32 0.08 0 0.01 0.03 0.02 0 0
