ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
1,Abalistes stellatus,Abalistes stellatus,species,Abalistes stellatus,Abalistes stellatus,Abalistes,Balistidae,Actinopteri,219873,1,NA
2,Abudefduf abdominalis,Abudefduf abdominalis,species,Abudefduf abdominalis,Abudefduf abdominalis,Abudefduf,Pomacentridae,Actinopteri,254879,1,NA
3,Abudefduf bengalensis,Abudefduf bengalensis,species,Abudefduf bengalensis,Abudefduf bengalensis,Abudefduf,Pomacentridae,Actinopteri,212885,1,NA
4,Abudefduf concolor,Abudefduf concolor,species,Abudefduf concolor,Abudefduf concolor,Abudefduf,Pomacentridae,Actinopteri,273696,1,NA
5,Abudefduf conformis,Abudefduf conformis,species,Abudefduf conformis,Abudefduf conformis,Abudefduf,Pomacentridae,Actinopteri,273697,1,NA
6,Abudefduf luridus,Abudefduf luridus,species,Abudefduf luridus,Similiparma lurida,Similiparma,Pomacentridae,Actinopteri,889885,1,NA
7,Abudefduf notatus,Abudefduf notatus,species,Abudefduf notatus,Abudefduf notatus,Abudefduf,Pomacentridae,Actinopteri,212870,1,NA
8,Abudefduf saxatilis,Abudefduf saxatilis,species,Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf,Pomacentridae,Actinopteri,159288,1,NA
9,Abudefduf septemfasciatus,Abudefduf septemfasciatus,species,Abudefduf septemfasciatus,Abudefduf septemfasciatus,Abudefduf,Pomacentridae,Actinopteri,212878,1,NA
10,Abudefduf sexfasciatus,Abudefduf sexfasciatus,species,Abudefduf sexfasciatus,Abudefduf sexfasciatus,Abudefduf,Pomacentridae,Actinopteri,159289,1,NA
11,Abudefduf sordidus,Abudefduf sordidus,species,Abudefduf sordidus,Abudefduf sordidus,Abudefduf,Pomacentridae,Actinopteri,212888,1,NA
12,Abudefduf sparoides,Abudefduf sparoides,species,Abudefduf sparoides,Abudefduf sparoides,Abudefduf,Pomacentridae,Actinopteri,212862,1,NA
13,Abudefduf spp.,Abudefduf spp.,genus,NA,NA,Abudefduf,Pomacentridae,Actinopteri,NA,NA,NA
14,Abudefduf troschelii,Abudefduf troschelii,species,Abudefduf troschelii,Abudefduf troschelii,Abudefduf,Pomacentridae,Actinopteri,273702,1,NA
15,Abudefduf vaigiensis,Abudefduf vaigiensis,species,Abudefduf vaigiensis,Abudefduf vaigiensis,Abudefduf,Pomacentridae,Actinopteri,212879,1,NA
16,Abudefduf whitleyi,Abudefduf whitleyi,species,Abudefduf whitleyi,Abudefduf whitleyi,Abudefduf,Pomacentridae,Actinopteri,273703,1,NA
