"Species","MaxLength","Trophic.Level","Water.column","Diel.Activity","Habitat","ThermalMP_5min_95max","Vulnerability","IUCN_status","Trophic_guild","Trophic_guild_name","Benthic","DP","RedList","LRFI","TopPred"
"Abalistes stellatus",60,3.4,"Demersal","Day","sand",25.73175,0.248680454545455,NA,6,"macroinvertivore",0,1,NA,1,0
"Abudefduf abdominalis",30,3,"Demersal","Day","coral",25.7133,0.225135909090909,"NThr",8,"planktivore",0,1,0,1,0
"Abudefduf bengalensis",17,3.1,"Demersal","Day","coral",24.471725,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Abudefduf concolor",19,2.7,"Demersal","Day","coral",27.6948,0.225135909090909,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,0,0
"Abudefduf luridus",15,3.5,"Demersal","Day","rock",21.44195,NA,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,0,0
"Abudefduf notatus",17,2.7,"Demersal","Day","coral",26.18385,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Abudefduf saxatilis",22.9,3.4,"Demersal","Day","coral",26.591975,0.225135909090909,"NThr",8,"planktivore",0,1,0,1,0
"Abudefduf septemfasciatus",23,3,"Demersal","Day","coral",27.5349,0.225135909090909,"NThr",8,"planktivore",0,1,0,1,0
"Abudefduf sexfasciatus",16,2.4,"Demersal","Day","coral",24.792,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Abudefduf sordidus",23,2.8,"Demersal","Day","coral",24.901625,0.225135909090909,"NThr",5,"microinvertivore",0,1,0,1,0
"Abudefduf sparoides",16,3,"Demersal","Day","coral",27.653,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Abudefduf troschelii",20,3,"Demersal","Day","coral",25.586,0.225135909090909,"NThr",8,"planktivore",0,1,0,1,0
"Abudefduf vaigiensis",20,2.6,"Demersal","Day","coral",23.959625,0.225135909090909,"NThr",8,"planktivore",0,1,0,1,0
"Abudefduf whitleyi",14,2.6,"Demersal","Day","coral",24.4745,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Acanthemblemaria hancocki",4.5,3.4,"benthic","Day","rock",26.7425,NA,"NThr",NA,NA,1,0,0,0,0
"Acanthemblemaria spinosa",2.8,3.1,"benthic","Day","coral",28.39195,NA,"NThr",NA,NA,1,0,0,0,0
"Acanthistius cinctus",50,4.1,"Demersal","Day","rock",21.339,0.247280909090909,"NThr",4,"piscivore",0,1,0,1,1
